zcta,name,city,county,state,median_hh_income,median_age,total_households,total_pop,male_pop,pop_25plus,bachelors,masters,professional,doctorate
86001,ZCTA5 86001,Flagstaff,Coconino,AZ,60774,23.8,13174,37084,18896,17658,5423,2685,668,909
86003,ZCTA5 86003,Flagstaff,Coconino,AZ,19375,56.2,22,52,32,48,0,0,0,0
86004,ZCTA5 86004,Flagstaff,Coconino,AZ,73765,36.9,13939,36590,19063,24550,6830,2913,652,809
86005,ZCTA5 86005,,,,73086,34.2,6846,16703,8112,10356,3666,2010,286,395
86011,ZCTA5 86011,Flagstaff,Coconino,AZ,19286,18.9,40,3917,1133,52,0,10,0,0
86015,ZCTA5 86015,Bellemont,Coconino,AZ,111389,36.0,586,1275,664,1021,237,203,0,18
86016,ZCTA5 86016,Gray Mountain,Coconino,AZ,-666666666,27.9,18,39,15,28,0,0,0,0
86017,ZCTA5 86017,Munds Park,Coconino,AZ,80152,66.4,554,950,524,727,360,36,79,0
86018,ZCTA5 86018,Parks,Coconino,AZ,93021,49.8,359,864,428,650,119,101,41,0
86020,ZCTA5 86020,Cameron,Coconino,AZ,33385,35.2,623,2061,998,1321,33,30,0,0
86021,ZCTA5 86021,Colorado City,Mohave,AZ,62279,18.1,753,4118,1977,1489,139,56,0,0
86022,ZCTA5 86022,Fredonia,Coconino,AZ,51641,40.9,618,1659,774,1212,119,41,0,0
86023,ZCTA5 86023,Grand Canyon,Coconino,AZ,73194,30.8,609,2311,850,1477,105,131,41,0
86024,ZCTA5 86024,Happy Jack,Coconino,AZ,84167,67.0,548,1096,524,1047,264,96,11,9
86025,ZCTA5 86025,Holbrook,Navajo,AZ,59068,39.1,1696,5317,3002,3487,250,185,25,16
86028,ZCTA5 86028,Petrified Forest Natl Pk,Apache,AZ,-666666666,-666666666.0,14,37,0,37,0,0,0,0
86029,ZCTA5 86029,Sun Valley,Navajo,AZ,-666666666,57.5,24,105,72,105,0,0,0,0
86030,ZCTA5 86030,Hotevilla,Navajo,AZ,32321,48.2,240,700,351,514,25,0,0,0
86031,ZCTA5 86031,Indian Wells,Navajo,AZ,27650,34.8,667,1882,941,1162,24,15,0,0
86032,ZCTA5 86032,Joseph City,Navajo,AZ,69911,21.9,585,2119,1089,969,76,77,0,0
86033,ZCTA5 86033,Kayenta,Navajo,AZ,34846,30.7,2606,8051,3712,4701,299,200,0,10
86034,ZCTA5 86034,Keams Canyon,Navajo,AZ,30714,45.3,592,1607,824,1171,65,28,10,0
86035,ZCTA5 86035,Leupp,Coconino,AZ,46563,35.3,545,1881,872,1203,83,24,0,3
86036,ZCTA5 86036,Marble Canyon,Coconino,AZ,-666666666,35.5,59,205,95,139,19,0,0,0
86038,ZCTA5 86038,Mormon Lake,Coconino,AZ,-666666666,32.5,76,272,111,152,30,0,0,0
86039,ZCTA5 86039,Kykotsmovi Villa,Navajo,AZ,35938,39.3,556,1504,731,973,64,69,0,0
86040,ZCTA5 86040,Greenehaven,Coconino,AZ,77777,31.8,3892,10785,5602,7028,937,150,17,81
86042,ZCTA5 86042,Polacca,Navajo,AZ,63199,38.7,641,1966,984,1250,42,20,22,13
86043,ZCTA5 86043,Second Mesa,Navajo,AZ,40655,26.6,578,2523,1139,1390,17,39,0,0
86044,ZCTA5 86044,Tonalea,San Juan,UT,22935,40.0,1078,3148,1519,1936,58,71,0,4
86045,ZCTA5 86045,Tuba City,Coconino,AZ,57850,34.2,3116,11154,5309,6781,502,576,32,30
86046,ZCTA5 86046,Williams,Coconino,AZ,63734,45.3,2611,6131,3068,4285,551,289,40,15
86047,ZCTA5 86047,Winslow,Navajo,AZ,45842,33.8,4333,14688,8355,9353,408,178,79,31
86052,ZCTA5 86052,North Rim,Coconino,AZ,-666666666,41.6,0,296,209,214,15,56,0,0
86053,ZCTA5 86053,Kaibito,Coconino,AZ,42802,28.6,697,2286,1093,1306,61,18,0,0
86054,ZCTA5 86054,Shonto,Navajo,AZ,26550,44.5,565,1568,672,1032,26,41,0,0
86301,ZCTA5 86301,Prescott,Yavapai,AZ,70617,58.6,11834,26136,12873,20209,4576,2151,257,588
86303,ZCTA5 86303,Groom Creek,Yavapai,AZ,61811,59.2,9679,19319,9346,15791,3483,1569,658,416
86305,ZCTA5 86305,Zcta 86305,Yavapai,AZ,82792,61.7,9034,19071,9384,16144,4240,2350,561,293
86313,ZCTA5 86313,Prescott,Yavapai,AZ,-666666666,60.0,0,212,212,212,17,3,9,0
86314,ZCTA5 86314,Prescott Valley,Yavapai,AZ,63660,43.0,15865,39202,19235,27893,3367,2008,317,267
86315,ZCTA5 86315,,,,79477,54.7,3706,8878,4260,6928,1533,356,22,64
86320,ZCTA5 86320,Ash Fork,Yavapai,AZ,50600,57.7,1098,2585,1342,1871,135,102,0,18
86321,ZCTA5 86321,Bagdad,Yavapai,AZ,69261,23.5,1002,3190,1682,1443,5,64,0,0
86322,ZCTA5 86322,Camp Verde,Yavapai,AZ,49958,40.0,4578,12795,6836,8876,1030,399,103,124
86323,ZCTA5 86323,Chino Valley,Yavapai,AZ,57578,51.8,8135,19247,9369,14326,1812,713,67,84
86324,ZCTA5 86324,Clarkdale,Yavapai,AZ,40483,59.9,2412,4552,1934,3867,583,304,30,0
86325,ZCTA5 86325,Cornville,Yavapai,AZ,70812,55.2,2548,5505,2686,4447,783,481,71,121
86326,ZCTA5 86326,Cottonwood,Yavapai,AZ,51637,50.0,11230,24486,12120,18679,2928,1196,298,116
86327,ZCTA5 86327,Dewey,Yavapai,AZ,64884,62.9,5522,11417,5792,9992,1160,530,138,74
86329,ZCTA5 86329,Humboldt,Yavapai,AZ,43583,43.3,374,1239,587,750,120,85,11,0
86331,ZCTA5 86331,Jerome,Yavapai,AZ,35208,57.0,228,363,172,323,66,23,0,0
86332,ZCTA5 86332,Kirkland,Yavapai,AZ,42852,61.4,1129,2144,1212,1824,161,55,7,10
86333,ZCTA5 86333,Mayer,Yavapai,AZ,52657,49.0,2699,6740,3386,4739,283,257,62,9
86334,ZCTA5 86334,Paulden,Yavapai,AZ,65333,47.4,1644,4328,2023,2883,304,88,46,14
86335,ZCTA5 86335,Rimrock,Yavapai,AZ,57683,61.7,2501,4600,2316,3906,332,291,22,32
86336,ZCTA5 86336,Sedona,Yavapai,AZ,61776,59.3,5728,10914,5021,9478,2609,1352,627,374
86337,ZCTA5 86337,Seligman,Yavapai,AZ,41938,57.4,845,1838,1006,1456,121,14,0,11
86338,ZCTA5 86338,Skull Valley,Yavapai,AZ,58000,60.3,264,570,315,440,102,70,4,9
86343,ZCTA5 86343,Crown King,Yavapai,AZ,120438,53.9,67,143,70,121,27,43,0,0
86351,ZCTA5 86351,Sedona,Yavapai,AZ,74750,66.3,3422,6105,2795,5623,1610,788,143,265
86401,ZCTA5 86401,Kingman,Mohave,AZ,56752,44.0,12278,29528,14914,21871,2421,865,321,300
86403,ZCTA5 86403,Desert Hills,Mohave,AZ,57843,49.3,8467,18583,9054,13789,1113,958,231,174
86404,ZCTA5 86404,Lake Havasu City,Mohave,AZ,63125,59.5,8620,18280,9387,14892,1822,626,75,177
86406,ZCTA5 86406,Lake Havasu City,Mohave,AZ,70833,56.4,11468,23973,11954,19269,2458,960,299,112
86409,ZCTA5 86409,,,,47171,51.2,13272,29001,14548,21939,1619,834,306,120
86411,ZCTA5 86411,Hackberry,Mohave,AZ,63191,40.0,197,520,256,405,11,7,6,0
86413,ZCTA5 86413,Golden Valley,Mohave,AZ,43034,59.2,4938,11544,6527,10555,351,208,28,0
86426,ZCTA5 86426,Bullhead City,Mohave,AZ,66851,57.9,6769,15795,7895,12829,958,296,47,24
86429,ZCTA5 86429,Bullhead City,Mohave,AZ,52425,57.9,4021,8400,4306,6994,605,237,14,56
